bridge_name,state,year_failed,cause,location_text,prefailure_nbi_year,nbi_data_available,download_url,fatalities,injuries,damage_cost_usd,notes
BIN 3338830,NY,2001,scour,Military Road Mill Creek,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 5051740,NY,2001,scour,I-790 Utica Inter./Gensee,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 59C535,NY,2001,scour,Harris Road Pine Creek,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN Private,NY,2001,scour,Lower Shavertown Cov. Br Trout Brook,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
I-285 bridge over GA-400,GA,2001,fire,"I-285 bridge over GA-400 Atlanta, Georgia",2000,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2000.cfm,0,1.0,,"Scraped from Wikipedia. Original cause: A fuel tanker overturned underneath the bridge, engulfing the bridge in fire"
Queen Isabella Causeway,TX,2001,collision,"Queen Isabella Causeway Port Isabel, Texas and South Padre Island, Texas",2000,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2000.cfm,8,,,"Scraped from Wikipedia. Original cause: 4 loaded barges veered 175 feet (53 m) west of the navigation channel and struck one of the bridge supports, causing a partial collapse of 3 sections measuring approximately 80 feet (24 m) each."
BIN 1002460,NY,2002,scour,"Route 5, Herkimer Co East Canada Cr",2001,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1019300,NY,2002,scour,"NY Route 27, Brookhaven Station Road",2001,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1077970,NY,2002,scour,"Pedestrian Bridge, Region 2 NYS Rte 49",2001,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 56-0A257-1.90,NY,2002,scour,Driver Rd Macon County White Oak Creek,2001,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 6237,NY,2002,scour,NM 456 Rral Major Collector nan,2001,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA60-65,NY,2002,scour,"Eason Road, Quitman Co. Bobo Bayou",2001,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA69-31,NY,2002,scour,"Coldwater-Arkabutla Rd, Tate Co. Hickahala Creek",2001,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA77-85,NY,2002,scour,"Woodward Switch Road, Wayne Co. Chickasawhay River",2001,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
I-40 bridge disaster,OK,2002,collision,"I-40 bridge disaster Webbers Falls, Oklahoma",2001,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2001.cfm,14,11.0,,Scraped from Wikipedia. Original cause: Barge struck one pier of the bridge causing a partial collapse
Marcy Pedestrian Bridge,NY,2002,overload,Marcy New York State Route 49,2001,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2001.cfm,1,9.0,,under_construction_collapse
Marcy Pedestrian Bridge Collapse,NY,2002,construction,"Marcy Pedestrian Bridge Collapse Marcy, New York",2001,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2001.cfm,1,9.0,,"Scraped from Wikipedia. Original cause: While closed for construction, bridge twisted and collapsed over State Route 49."
BIN 00583,NY,2003,scour,Harrisburg Bridge Willamette River,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 19-I40-15.16,NY,2003,scour,Middle Creek Road Monroe County Middle Creek,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 193,NY,2003,scour,113th Street Thorpe Creek,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2205590,NY,2003,scour,Jones Road Madd River,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 29C211,NY,2003,scour,Evan Creek Bridge (Wimer) Evan Creek,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3330270,NY,2003,scour,CR 1 S Br. Van Campen Cre,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3332670,NY,2003,scour,County Road 16 Meads Creek,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 5232,NY,2003,scour,I-40 Frontage Rd nan,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 62-A521-0.67,NY,2003,scour,Middle Creek Road Middle creek,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 8064,NY,2003,scour,County Road S - 8 nan,2002,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
Kinzua Bridge,PA,2003,extreme_weather,"Kinzua Bridge Kinzua Bridge State Park, Pennsylvania",2002,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2002.cfm,0,,,Scraped from Wikipedia. Original cause: Hit by tornado
BIN 06562,NY,2004,scour,Graves Road Mill Creek,2003,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 08499,NY,2004,scour,Fahy Avenue in Bandon nan,2003,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1060020,NY,2004,scour,Fletcher Street Route 17,2003,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 5868,NY,2004,scour,Rio Arriba Co Rd 369 nan,2003,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 7372,NY,2004,scour,CR 58 I-25,2003,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
C-470 overpass over I-70,CO,2004,collision,"C-470 overpass over I-70 Golden, Colorado",2003,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2003.cfm,3,0.0,,"Scraped from Wikipedia. Original cause: During construction, a girder twisted, sagged, and fell onto I-70. An eastbound SUV struck the fallen girder; the top of the vehicle was torn off and three passengers died instantly.[61]"
I-95 Howard Avenue Overpass,CT,2004,fire,Bridgeport Connecticut,2003,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2003.cfm,0,1.0,,tanker_fire_low_confidence_verify_year
Interstate 95 Howard Avenue Overpass,CT,2004,collision,"Interstate 95 Howard Avenue Overpass Bridgeport, Connecticut",2003,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2003.cfm,0,1.0,,"Scraped from Wikipedia. Original cause: Car struck a truck carrying heating oil, igniting a fire that melted the superstructure, causing collapse of the southbound lanes"
BIN 2224200,NY,2005,scour,Balace Road Rondout Creek NY,2004,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3347020,NY,2005,scour,Gossoo Road Bushnellsville Creek,2004,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3347800,NY,2005,scour,Bridge Street Esopus Creek,2004,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 56-A447-0.02,NY,2005,scour,Wilburn Lane Macon County East Fork Goose Cree,2004,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 8684,NY,2005,scour,Grant Co. Rd. 3-14 nan,2004,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
Biloxi Bay Bridge,MS,2005,extreme_weather,"Biloxi Bay Bridge Biloxi, Mississippi",2004,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2004.cfm,0,0.0,,"Scraped from Wikipedia. Original cause: After Hurricane Katrina on August 29, 2005, the original U.S. Route 90 crossing over the Biloxi Bay suffered extensive damage, as the rising storm surge shifted bridge segments off their piers."
I-10 Twin Span Bridge,LA,2005,extreme_weather,"I-10 Twin Span Bridge New Orleans and Slidell, Louisiana",2004,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2004.cfm,0,0.0,,"Scraped from Wikipedia. Original cause: After Hurricane Katrina on August 29, 2005, the old Twin Spans suffered extensive damage, as the rising storm surge had pulled or shifted bridge segments off their piers."
Interstate 88 Bridge,NY,2006,scour,Unadilla New York,2005,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2005.cfm,2,0.0,,mid_atlantic_flood_2006
Harp Road bridge,WA,2007,collision,"Harp Road bridge Oakville, Washington",2006,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2006.cfm,0,0.0,,Scraped from Wikipedia. Original cause: Collapsed under weight of a truck hauling an excavator[73][74]
I-35W Mississippi River Bridge,MN,2007,deterioration,Minneapolis Minnesota Mississippi River,2006,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2006.cfm,13,145.0,234000000.0,undersized_gusset_plates
MacArthur Maze,CA,2007,collision,"MacArthur Maze Oakland, California",2006,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2006.cfm,0,1.0,,"Scraped from Wikipedia. Original cause: Tanker truck crash and explosion, resulting fire softened steel sections of flyover causing them to collapse."
Minneapolis I-35W bridge over the Mississippi River,MN,2007,overload,"Minneapolis I-35W bridge over the Mississippi River Minneapolis, Minnesota",2006,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2006.cfm,13,145.0,,"Scraped from Wikipedia. Original cause: The NTSB said that undersized gusset plates, increased concrete surfacing load, and weight of construction supplies/equipment caused this collapse."
The Cedar Rapids and Iowa City Railway (CRANDIC) bridge,IA,2008,scour,"The Cedar Rapids and Iowa City Railway (CRANDIC) bridge Cedar Rapids, Iowa",2007,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2007.cfm,0,0.0,,Scraped from Wikipedia. Original cause: During June 2008 Midwest floods
9 Mile Road Bridge at I-75,MI,2009,misc,"9 Mile Road Bridge at I-75 Hazel Park, Michigan",2008,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2008.cfm,0,1.0,,Scraped from Wikipedia. Original cause: Collapsed due to tanker accident[84]
Popp's Ferry Bridge,MS,2009,collision,"Popp's Ferry Bridge Biloxi, Mississippi",2008,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2008.cfm,0,0.0,,Scraped from Wikipedia. Original cause: A tugboat pushing eight barges hit the bridge pilings
San Francisco Oakland Bay Bridge,CA,2009,deterioration,San Francisco Oakland California I-80,2008,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2008.cfm,0,1.0,,repair_rods_failed
San Francisco – Oakland Bay Bridge,CA,2009,misc,"San Francisco – Oakland Bay Bridge Connects San Francisco and Oakland, California",2008,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2008.cfm,0,1.0,,"Scraped from Wikipedia. Original cause: Two tension rods and a crossbeam from a recently installed repair collapsed during the evening commute, causing the bridge to be closed temporarily."
Eggner's Ferry Bridge (1932) over Kentucky Lake (Tennessee River),Y,2012,collision,"Eggner's Ferry Bridge (1932) over Kentucky Lake (Tennessee River) Between Trigg County, Kentucky and Marshall County, Kentucky",2011,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2011.cfm,0,0.0,,Scraped from Wikipedia. Original cause: The MV Delta Mariner struck the bottom of a span of the bridge when travelling in the incorrect channel of the river.
Jay Cooke State Park Swinging Bridge,MN,2012,scour,"Jay Cooke State Park Swinging Bridge Carlton, Minnesota",2011,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2011.cfm,0,0.0,,Scraped from Wikipedia. Original cause: Raging floodwaters
Pedestrian bridge over Moanalua Freeway,HI,2012,collision,"Pedestrian bridge over Moanalua Freeway Honolulu, Hawaii",2011,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2011.cfm,0,,,"Scraped from Wikipedia. Original cause: A dump truck was towing a trailer carrying a forklift, which impacted the pedestrian bridge over Moanalua Road."
I-5 Skagit River Bridge,WA,2013,collision,Mount Vernon Washington Skagit River,2012,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2012.cfm,0,3.0,,oversized_truck_load_struck_truss
I-5 Skagit River Bridge collapse,WA,2013,collision,"I-5 Skagit River Bridge collapse Mount Vernon, Washington",2012,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2012.cfm,0,3.0,,Scraped from Wikipedia. Original cause: Oversized semi-truck load carrying drilling equipment from Alberta clipped top steel girder causing bridge collapse.
Scott City roadway bridge collapse,MO,2013,misc,"Scott City roadway bridge collapse Scott City, Missouri",2012,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2012.cfm,0,7.0,,"Scraped from Wikipedia. Original cause: A Union Pacific train t-boned a Burlington Northern Santa Fe train outside Scott City, Missouri, at about 2:30 am, which caused numerous rail cars to hit an overpass support pillar, collapsing two bridge sections onto the rail line. Two cars drove onto the collapsed sections, injuring five people. Two train occupants were injured.[105][106]"
Bob White Covered Bridge,VA,2015,scour,"Bob White Covered Bridge Patrick County, Virginia",2014,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2014.cfm,0,0.0,,Scraped from Wikipedia. Original cause: Destruction due to major flooding
Hopple Street Overpass over I-75 Southbound,OH,2015,misc,"Hopple Street Overpass over I-75 Southbound Cincinnati, Ohio",2014,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2014.cfm,1,0.0,,Scraped from Wikipedia. Original cause: Old Northbound Hopple Street offramp totally collapsed onto roadway below during demolition[110]
I-10 Bridge,CA,2015,scour,I-10 Bridge Southern California,2014,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2014.cfm,0,1.0,,"Scraped from Wikipedia. Original cause: Remnants of Hurricane Dolores record breaking rainfall caused abutment displacement due to stream meander, which caused abutment scour."
I-10 Bridge Southern California,CA,2015,scour,Southern California,2014,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2014.cfm,0,1.0,,hurricane_dolores_remnants_flooding
Pennsy Bridge,PA,2015,misc,"Pennsy Bridge Ridgway, Pennsylvania",2014,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2014.cfm,0,3.0,,Scraped from Wikipedia. Original cause: Partial collapse during demolition.
May Ave. Overpass,OK,2016,misc,"May Ave. Overpass Oklahoma City, Oklahoma",2015,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2015.cfm,0,,,"Scraped from Wikipedia. Original cause: An over-sized load hit the bridge, causing a section of the deck to fail"
I-85 Bridge,GA,2017,fire,Atlanta Georgia Interstate 85,2016,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2016.cfm,0,0.0,17000000.0,arson_suspected
"I-85N, Atlanta",GA,2017,fire,"I-85N, Atlanta Atlanta, Georgia",2016,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2016.cfm,0,0.0,,"Scraped from Wikipedia. Original cause: Fire (allegedly arson) involving HDPE pipe and other construction materials stored under bridge critically weakened structure, which collapsed."
Pfeiffer Canyon Bridge,CA,2017,extreme_weather,"Pfeiffer Canyon Bridge Pfeiffer Big Sur State Park Big Sur, California",2016,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2016.cfm,0,,,Scraped from Wikipedia. Original cause: Massive rain and landslide
FIU Pedestrian Bridge,FL,2018,deterioration,Florida International University Miami,2017,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2017.cfm,6,10.0,,under_construction_design_flaw
Florida International University pedestrian bridge collapse,FL,2018,fracture_critical,"Florida International University pedestrian bridge collapse Sweetwater and University Park, Florida",2017,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2017.cfm,6,,,"Scraped from Wikipedia. Original cause: Partially constructed concrete truss bridge, a rare design. Main span (174 ft.) prefabricated and moved over busy city street. Faulty design (insufficient rebar for interface shear capacity), lack of redundancy, lack of peer review and oversight all contributed to failure. Work was performed while street was open to traffic.[133][134]"
Dale Bend Bridge,AR,2019,collision,"Dale Bend Bridge Ola, Arkansas",2018,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2018.cfm,0,,,Scraped from Wikipedia. Original cause: Overweight truck
Pensacola Bay Bridge,FL,2020,collision,"Pensacola Bay Bridge Pensacola, Florida",2019,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2019.cfm,0,,,Scraped from Wikipedia. Original cause: Unsecured barge during Hurricane Sally
GA Route 86 overpass of Interstate 16,GA,2021,collision,"GA Route 86 overpass of Interstate 16 Treutlen County, Georgia near Soperton",2020,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2020.cfm,0,0.0,,Scraped from Wikipedia. Original cause: Bridge struck by raised dump trailer
Hernando de Soto Bridge crack,TN,2021,fracture_critical,Memphis Tennessee Mississippi River,2020,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2020.cfm,0,0.0,,NOT_A_COLLAPSE_near_miss_crack_detected_before_failure
Fern Hollow Bridge,PA,2022,deterioration,Pittsburgh Pennsylvania Frick Park,2021,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2021.cfm,0,10.0,,corrosion_poor_maintenance
Forbes Avenue Bridge over Nine Mile Run and Fern Hollow Creek,PA,2022,deterioration,"Forbes Avenue Bridge over Nine Mile Run and Fern Hollow Creek Pittsburgh, Pennsylvania",2021,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2021.cfm,0,10.0,,Scraped from Wikipedia. Original cause: Corrosion and poor maintenance
Sanibel Causeway,FL,2022,extreme_weather,"Sanibel Causeway Sanibel, Florida",2021,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2021.cfm,0,,,Scraped from Wikipedia. Original cause: Collapsed due to Hurricane Ian[174]
2023 Reed Point bridge collapse,MT,2023,misc,"2023 Reed Point bridge collapse Near Columbus, Montana",2022,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2022.cfm,0,,,Scraped from Wikipedia. Original cause: Train derailment
I-95 bridge collapse,PA,2023,fire,Philadelphia Pennsylvania,2022,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2022.cfm,1,0.0,,tanker_fire_underpass
Interstate 95 bridge collapse,PA,2023,fire,"Interstate 95 bridge collapse Philadelphia, Pennsylvania",2022,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2022.cfm,1,,,Scraped from Wikipedia. Original cause: Tanker fire on underpass
Babb's Covered Bridge,ME,2024,collision,"Babb's Covered Bridge Gorham, Maine",2023,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2023.cfm,0,1.0,,Scraped from Wikipedia. Original cause: Overweight truck
Francis Scott Key Bridge,MD,2024,collision,Baltimore Maryland Patapsco River,2023,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2023.cfm,6,,,fracture_critical_design_no_redundancy
Francis Scott Key Bridge collapse,MD,2024,collision,"Francis Scott Key Bridge collapse Baltimore, Maryland",2023,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2023.cfm,6,,,Scraped from Wikipedia. Original cause: Ship collision
Aldridge Creek Bridge,AL,2025,deterioration,"Aldridge Creek Bridge Huntsville, Alabama",2024,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2024.cfm,0,0.0,,Scraped from Wikipedia. Original cause: Poor maintenance and old age
Carroll Road bridge,MD,2025,misc,"Carroll Road bridge Baltimore County, Maryland",2024,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2024.cfm,0,,,Scraped from Wikipedia. Original cause: Under investigation
Old Vaucluse Road overpass of Interstate 20,SC,2025,collision,"Old Vaucluse Road overpass of Interstate 20 Aiken County, South Carolina near Vaucluse",2024,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2024.cfm,0,2.0,,Scraped from Wikipedia. Original cause: Fire due to fuel truck accident
Portland & Western Mary's River Rail bridge,OR,2025,misc,"Portland & Western Mary's River Rail bridge Corvallis, Oregon",2024,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2024.cfm,0,,,Scraped from Wikipedia. Original cause: nan
